load_bus3,load_bus4,load_bus5,load_bus9,load_bus10,load_bus11
0,0,0.003141895,0.036462128,0,0.06579403
0,0,0.000822293,0.031773688,0,0.045363252
0,0,0.001350033,0.036620521,0,0.031442621
0,0,0.000306826,0.034339659,0,0.00886488
0,0.04009206,0.002172326,0.034846517,0,0.007826027
0.001455604,0.084403529,0.042949454,0.039820065,0.087509638,0
0.312227074,0.147694668,0.186292258,0.186207115,0.188511951,0.150772214
0.661572052,1,0.596438368,0.437387145,0.50925212,0.692360967
0.931222707,0.907188339,0.720629115,0.874077359,1,0.778932059
0.934497817,0.594967395,0.40243865,0.705578611,0.935235158,0.750813768
1,0.58863061,1,0.727595274,0.957208944,0.812660157
0.848617176,0.68566168,0.445308329,1,0.968774094,0.901170441
0.72125182,0.405093978,0.704692591,0.59093357,0.915959907,0.560980677
0.929403202,0.546421174,0.892862622,0.750435581,0.873939861,0.949996537
0.764919942,0.500007672,0.779435318,0.699939811,0.880107941,1
0.806040757,0.455726889,0.829417215,0.768524092,0.887432537,0.766258051
0.626273654,0.151914077,0.878429544,0.180093135,0.782960678,0.151880324
0.411208151,0.004234753,0.300308667,0.027148605,0.582112567,0.141630307
0.058588064,0,0.707085831,0.011784458,0.149575944,0.114689383
0,0.128699655,0.519824005,0.006082301,0.001927525,0.126324538
0,0,0.808694211,0.001203789,0,0.120991758
0,0.044326812,0.539430163,0.006082301,0,0.112403906
0,0,0.217563927,0.002882757,0,0.096405568
0,0.042209436,0,0,0,0.091003532
