LG 01,LG 02,LG 03,LG 04,LG 05,LG 06,LG 07
0.602806915,0.608805909,0.470905172,0.629956365,0.305763303,0.651213932,0.639395945
,,,,,,
0.227855478,0.407150273,0.089439655,0.286568014,0.01380721,0.852532603,0.729598017
0.124708625,0.345445108,0.126077586,0.123505976,0.038012444,0.387497637,0.378883912
0.253496503,0.253049572,0,0.121513944,0.010355408,0.307739558,0.036254542
0.043706294,0.152413704,0.113146552,0.112122937,0.017259013,0.071394821,0.02783177
0.184731935,0,0.415948276,0.033579966,0.01380721,0.029484029,0.012338376
0,0.085128471,0.356681034,0.089356858,0.141822211,0,0.016901885
0.347319347,0.030755256,0.454741379,0,0.889244013,0.548903799,0
0.334498834,0.167856216,0.465517241,0.533579966,0.854640757,0.668399168,0.173610524
0.364801865,0.46788217,0.637931034,0.561752988,0.972257735,0.596909847,0.372883743
0.6497669,0.881650662,0.657327586,0.6232214,0.909997443,0.64000189,0.748274599
0.818764569,0.815922658,0.65625,0.729652817,1,0.654460404,0.81551593
0.843240093,0.789968855,0.761853448,0.784291406,0.55011506,0.742959743,0.913039804
0.821095571,0.829678173,0.80387931,0.926294821,0.349441746,0.782744283,0.898616862
0.854895105,0.886452115,0.868534483,0.972111554,0.387539419,0.807645058,0.905293107
0.814685315,0.940760446,1,1,0.390948606,0.771546022,0.902842334
0.752331002,0.871009603,0.929956897,0.959305635,0.401304014,0.758505009,0.878559959
0.798368298,0.849208409,0.905172414,0.979225953,0.238685758,0.844547345,0.931716386
0.77972028,0.82805606,0.764008621,0.96812749,0.003451803,0.801927802,0.929969858
0.895687646,0.802880872,0.667025862,0.955606147,0,0.824513325,0.89757458
0.905594406,0.879185051,0.22737069,0.876494024,0.006903605,0.833679834,0.913744049
0.843240093,0.888917726,0.140086207,0.890153671,0.134918606,0.956766207,0.956364968
0.898601399,0.925382819,0.15625,0.801935117,0.01380721,1,1
1,1,0.08512931,0.931701764,0,0.961585712,0.971154117
0.91025641,0.512587594,0.019396552,0.858850313,0,0.785390285,0.934533367
